id,created_at,score,length_between125_and_155
1505919723250270216,2022-03-21T14:50:15.000Z,2721346.212282,False
1505927272519421960,2022-03-21T15:20:15.000Z,256447.70322,False
1505934854176784389,2022-03-21T15:50:22.000Z,565265.148018,False
1506049461776224269,2022-03-21T23:25:47.000Z,138265.719552,False
1506050521227935747,2022-03-21T23:29:59.000Z,1186780.759488,False
1506056010057740288,2022-03-21T23:51:48.000Z,216320.238894,False
1506061242384805888,2022-03-22T00:12:36.000Z,2451476.012271,False
1506071781232185350,2022-03-22T00:54:28.000Z,503313.624081,False
1506077954773700611,2022-03-22T01:19:00.000Z,224701.797993,False
1506079503667249152,2022-03-22T01:25:09.000Z,2014374.7047,False
1506081858831847424,2022-03-22T01:34:31.000Z,472927.971882,False
1506090111422930951,2022-03-22T02:07:19.000Z,2382083.104122,False
1506094094698774528,2022-03-22T02:23:08.000Z,264509.202783,False
1506100773289082882,2022-03-22T02:49:41.000Z,312638.155509,False
1506106105134399490,2022-03-22T03:10:52.000Z,291214.170318,False
1506123389529862144,2022-03-22T04:19:33.000Z,223421.559849,False
1506308276442611717,2022-03-22T16:34:13.000Z,8641.607472,False
1506310670249304066,2022-03-22T16:43:44.000Z,42287.866194,False
1506317809877495809,2022-03-22T17:12:06.000Z,1221867.286122,False
1506328473291350023,2022-03-22T17:54:28.000Z,853378.741581,False
1506341349431422979,2022-03-22T18:45:38.000Z,269870.200011,False
1506375343971655681,2022-03-22T21:00:43.000Z,31165.797318,False
1506388665441918978,2022-03-22T21:53:39.000Z,1480815.454467,False
1506401827474059276,2022-03-22T22:45:57.000Z,1722780.463683,True
1506415364724465670,2022-03-22T23:39:45.000Z,14954001.674481,False
1506442397013745667,2022-03-23T01:27:10.000Z,1236930.088035,False
1506450542536454152,2022-03-23T01:59:32.000Z,1127129.663466,False
1506654593266110471,2022-03-23T15:30:21.000Z,736757.048151,False
1506669503396077576,2022-03-23T16:29:36.000Z,79674.820743,False
1506686134637764608,2022-03-23T17:35:42.000Z,279371.967486,False
1506690642482708488,2022-03-23T17:53:36.000Z,923311.750197,False
1506732477653606408,2022-03-23T20:39:51.000Z,410176.299105,False
1506742728385867783,2022-03-23T21:20:35.000Z,124783.211598,True
1506773261006348295,2022-03-23T23:21:54.000Z,190935.516945,False
1506775842776625161,2022-03-23T23:32:10.000Z,1003166.604429,False
1506793626247958533,2022-03-24T00:42:50.000Z,179133.321555,False
